PROV1;Oshima;Oshima;Oshima;;;;;;;;;x
PROV2;Hiyama;Hiyama;Hiyama;;;;;;;;;x
PROV3;Setana;Setana;Setana;;;;;;;;;x
PROV4;Shiribeshi;Shiribeshi;Shiribeshi;;;;;;;;;x
PROV5;Ishikari;Ishikari;Ishikari;;;;;;;;;x
PROV6;Sorachi;Sorachi;Sorachi;;;;;;;;;x
PROV7;Iburi;Iburi;Iburi;;;;;;;;;x
PROV8;Hidaka;Hidaka;Hidaka;;;;;;;;;x
PROV9;Rumoi;Rumoi;Rumoi;;;;;;;;;x
PROV10;Soya;Soya;Soya;;;;;;;;;x
PROV11;Nakagawa;Nakagawa;Nakagawa;;;;;;;;;x
PROV12;Kamikawa;Kamikawa;Kamikawa;;;;;;;;;x
PROV13;Monbetsu;Monbetsu;Monbetsu;;;;;;;;;x
PROV14;Okhotsk;Okhotsk;Okhotsk;;;;;;;;;x
PROV15;Nemuro;Nemuro;Nemuro;;;;;;;;;x
PROV16;Kuriru;Kuriru;Kuriru;;;;;;;;;x
PROV17;Kushiro;Kushiro;Kushiro;;;;;;;;;x
PROV18;Obihiro;Obihiro;Obihiro;;;;;;;;;x
PROV19;Tokachi;Tokachi;Tokachi;;;;;;;;;x
PROV20;Tsugaru;Tsugaru;Tsugaru;;;;;;;;;x
PROV21;Aomori;Aomori;Aomori;;;;;;;;;x
PROV22;Shimokita;Shimokita;Shimokita;;;;;;;;;x
PROV23;Ugo;Ugo;Ugo;;;;;;;;;x
PROV24;Akita;Akita;Akita;;;;;;;;;x
PROV25;Akumi;Akumi;Akumi;;;;;;;;;x
PROV26;Tsuruoka;Tsuruoka;Tsuruoka;;;;;;;;;x
PROV27;Yamagata;Yamagata;Yamagata;;;;;;;;;x
PROV28;Kunohe;Kunohe;Kunohe;;;;;;;;;x
PROV29;Iwate;Iwate;Iwate;;;;;;;;;x
PROV30;Nishiiwai;Nishiiwai;Nishiiwai;;;;;;;;;x
PROV31;Miyagi;Miyagi;Miyagi;;;;;;;;;x
PROV32;Sendai;Sendai;Sendai;;;;;;;;;x
PROV33;Aizu;Aizu;Aizu;;;;;;;;;x
PROV34;Nakadori;Nakadori;Nakadori;;;;;;;;;x
PROV35;Hamadori;Hamadori;Hamadori;;;;;;;;;x
PROV36;Myogi;Myogi;Myogi;;;;;;;;;x
PROV37;Testo;Testo;Testo;;;;;;;;;x
PROV38;Tesa;Tesa;Tesa;;;;;;;;;x
